accessed_at,bpom_regulation,btp_name_raw,confidence_level,dataset,functional_category,ins_number,record_id,source_url,verification_status
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,"Asam miristat, palmitat dan stearat dan garamnya (Myristic, palmitic & stearic acids and their salts): Asam miristat, palmitat dan stearat dan garamnya (kalsium, kalium, dan natrium (Ca, K, Na) (Myristic, palmitic & stearic acids",high,btp_regulation,Antikempal,470(i),bpom-btp-1,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Magnesium stearat (Magnesium stearate),high,btp_regulation,Antikempal,470(iii),bpom-btp-2,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,"Garam-garam dari asam oleat dengan kalsium, kalium dan natrium (Ca, K, Na)",high,btp_regulation,Antikempal,470(ii),bpom-btp-3,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Magnesium karbonat (Magnesium,high,btp_regulation,Antikempal,504(i),bpom-btp-4,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Tokoferol (Tocopherol): d-alfa tokoferol (d-alpha-Tocopherol ) 307a Tokoferol campuran pekat (Mixed tocopherol 307b concentrate) dl-alfa tokoferol (dl-alpha Tocopherol) 307c Gama tokoferol (Gamma Tocopherol),high,btp_regulation,Antioksidan,308,bpom-btp-5,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Butil hidrokinon tersier/TBHQ (Tertiary,high,btp_regulation,Antioksidan,319,bpom-btp-6,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Butil hidroksi anisol/BHA (Butylated,high,btp_regulation,Antioksidan,320,bpom-btp-7,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Butil hidroksi toluen/BHT (Butylated,high,btp_regulation,Antioksidan,321,bpom-btp-8,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium dihidrogen sitrat (Sodium,high,btp_regulation,Garam Pengemulsi,331(i),bpom-btp-9,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium dihidrogen sitrat (Potassium,high,btp_regulation,Garam Pengemulsi,332(i),bpom-btp-10,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
