accessed_at,allergens,article_url,barcode,bpom_application_id,bpom_number,bpom_product_date,bpom_product_id,brand,carbohydrates_100g,categories,confidence_level,dataset,energy_kcal_100g,fat_100g,food_name,ingredients_as_label,labels,manufacturer,packaging,proteins_100g,province,record_id,salt_100g,source_api_url,source_url,sugars_100g,verification_status
2026-09-15T07:02:07.103874+00:00,,https://id.wikipedia.org/wiki/Memek_%28makanan%29,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Memek (makanan),,,,,,Aceh,trad-3904513b0d5ba16dbe26,,,https://id.wikipedia.org/wiki/Memek_%28makanan%29,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:08.132790+00:00,,https://id.wikipedia.org/wiki/Sumatera_Utara,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Sumatera Utara,,,,,,Sumatera Utara,trad-63e54c15e9af3afbd609,,,https://id.wikipedia.org/wiki/Sumatera_Utara,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:09.126107+00:00,,https://id.wikipedia.org/wiki/Masakan_Sumatera_Barat,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Masakan Sumatera Barat,,,,,,Sumatera Barat,trad-8b23f74bf4860ffce5a4,,,https://id.wikipedia.org/wiki/Masakan_Sumatera_Barat,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:10.112716+00:00,,https://id.wikipedia.org/wiki/Riau,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Riau,,,,,,Riau,trad-3ff79f50a7898590e891,,,https://id.wikipedia.org/wiki/Riau,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:11.074547+00:00,,https://id.wikipedia.org/wiki/Jambi,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Jambi,,,,,,Jambi,trad-944117919dc9a68724cf,,,https://id.wikipedia.org/wiki/Jambi,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:12.083727+00:00,,https://id.wikipedia.org/wiki/Sumatera_Selatan,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Sumatera Selatan,,,,,,Sumatera Selatan,trad-f3a6f67ffe7d220842b9,,,https://id.wikipedia.org/wiki/Sumatera_Selatan,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:13.115495+00:00,,https://id.wikipedia.org/wiki/Rendang,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Rendang,,,,,,Bengkulu,trad-045090f24176aa7fc1d4,,,https://id.wikipedia.org/wiki/Rendang,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:14.126779+00:00,,https://id.wikipedia.org/wiki/Kebudayaan_Lampung,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Kebudayaan Lampung,,,,,,Lampung,trad-09668ba93a9c456da921,,,https://id.wikipedia.org/wiki/Kebudayaan_Lampung,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:15.114774+00:00,,https://id.wikipedia.org/wiki/Kepulauan_Bangka_Belitung,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Kepulauan Bangka Belitung,,,,,,Kepulauan Bangka Belitung,trad-806e90e7fedd54430120,,,https://id.wikipedia.org/wiki/Kepulauan_Bangka_Belitung,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:16.096273+00:00,,https://id.wikipedia.org/wiki/Riau,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Riau,,,,,,Kepulauan Riau,trad-5472a90a752fbb77c582,,,https://id.wikipedia.org/wiki/Riau,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T06:33:16.031327+00:00,,https://id.wikipedia.org/wiki/Daerah_Khusus_Ibukota_Jakarta,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Daerah Khusus Ibukota Jakarta,,,,,,DKI Jakarta,trad-5efa41081fc9d23c98af,,,https://id.wikipedia.org/wiki/Daerah_Khusus_Ibukota_Jakarta,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:49.833468+00:00,,https://id.wikipedia.org/wiki/Jawa_Barat,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Jawa Barat,,,,,,Jawa Barat,trad-0c47c8d2ccf5f7115edf,,,https://id.wikipedia.org/wiki/Jawa_Barat,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:50.836591+00:00,,https://id.wikipedia.org/wiki/Jawa_Tengah,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Jawa Tengah,,,,,,Jawa Tengah,trad-32ae3ddd0a84f53286c3,,,https://id.wikipedia.org/wiki/Jawa_Tengah,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:51.825475+00:00,,https://id.wikipedia.org/wiki/Keraton_Ngayogyakarta_Hadiningrat,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Keraton Ngayogyakarta Hadiningrat,,,,,,DI Yogyakarta,trad-b5cc0aaa645d6500b296,,,https://id.wikipedia.org/wiki/Keraton_Ngayogyakarta_Hadiningrat,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:52.890857+00:00,,https://id.wikipedia.org/wiki/Jawa_Timur,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Jawa Timur,,,,,,Jawa Timur,trad-587722dbf71075d7591c,,,https://id.wikipedia.org/wiki/Jawa_Timur,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:53.866255+00:00,,https://id.wikipedia.org/wiki/Banten,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Banten,,,,,,Banten,trad-8a2fe29ef8ad1fe7ff17,,,https://id.wikipedia.org/wiki/Banten,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:54.802811+00:00,,https://id.wikipedia.org/wiki/Bali,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Bali,,,,,,Bali,trad-017a1bd27799a16782f9,,,https://id.wikipedia.org/wiki/Bali,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:55.775946+00:00,,https://id.wikipedia.org/wiki/Arsitektur_tradisional_Nusa_Tenggara_Timur,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Arsitektur tradisional Nusa Tenggara Timur,,,,,,Nusa Tenggara Barat,trad-4216724d6533683baaca,,,https://id.wikipedia.org/wiki/Arsitektur_tradisional_Nusa_Tenggara_Timur,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:56.809303+00:00,,https://id.wikipedia.org/wiki/Arsitektur_tradisional_Nusa_Tenggara_Timur,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Arsitektur tradisional Nusa Tenggara Timur,,,,,,Nusa Tenggara Timur,trad-2e6ed78ca894bd6a363e,,,https://id.wikipedia.org/wiki/Arsitektur_tradisional_Nusa_Tenggara_Timur,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T07:02:57.933306+00:00,,https://id.wikipedia.org/wiki/Kalimantan_Barat,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Kalimantan Barat,,,,,,Kalimantan Barat,trad-8f99b81adfd6e3bfd046,,,https://id.wikipedia.org/wiki/Kalimantan_Barat,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T06:33:30.211600+00:00,,https://id.wikipedia.org/wiki/Ayam_geprek,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Ayam geprek,,,,,,Kalimantan Tengah,trad-21fee3716f445b05c7b9,,,https://id.wikipedia.org/wiki/Ayam_geprek,,discovery candidate; provincial attribution and food identity require human review
2026-09-15T06:33:31.680779+00:00,,https://id.wikipedia.org/wiki/Kalimantan_Selatan,,,,,,,,traditional food candidate,low,traditional_food_candidate,,,Kalimantan Selatan,,,,,,Kalimantan Selatan,trad-3bb874a442fe350f5717,,,https://id.wikipedia.org/wiki/Kalimantan_Selatan,,discovery candidate; provincial attribution and food identity require human review
