record_id,barcode,food_name,food_name_id,brand,categories,ingredients_as_label,allergens,labels,origins,countries,packaging,quantity,serving_size,stores,manufacturing_places,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_url,source_api_url,accessed_at,source_type,license,verification_status,confidence_level,quality_flags
off-id-80053835,80053835,Classico - olio extra vergine di oliva,Classico - Extra Zaitun,Monini,en:plant-based-foods-and-beverages | en:plant-based-foods | en:fats | en:vegetable-fats | en:olive-tree-products | en:vegetable-oils | en:olive-oils | en:virgin-olive-oils | en:extra-virgin-olive-oils,OLIO EXTRA VERGINE DI OLIVA,,en:carbon-compensated-product | en:halal | en:kosher | en:carbon-trust | en:carbon-trust-carbon-neutral | en:orthodox-union-kosher,en:european-union,en:austria | en:bulgaria | en:croatia | en:france | en:germany | en:indonesia | en:italy | en:romania | en:switzerland | en:ukraine,en:glass | en:green-glass,1 l,100ml,"Aldi, Astro Indonesia, Interspar",,3404,828,92,14,0,0,0,0,0,0,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-0089686120714,0089686120714,Instant Noodles Mi Goreng,,indomie,en:plant-based-foods-and-beverages | en:plant-based-foods | en:legumes-and-their-products | en:legumes | en:seeds | en:dried-products | en:legume-seeds | en:dried-products-to-be-rehydrated | en:pastas | en:noodles | en:instant-noodles | en:soy-beans | en:cellophane-noodles,"wheat flour, edible vegetable oil (palm), salt, acidity regulators (potassium carbonate, sodium carbonate, sodium polyphosphate), thickener (guar gum), colouring (riboflavin), antioxidant (TBHQ).
Seasoning powder:
sugar, salt, monosodium, glutamate, garlic powder, artificial beef flavour powder, onion powder, yeast extract, caramel.
Seasoning Oil:
edible vegetable oil (palm), onion, chili powder.
sweet soy sauce.
Contains: _Wheat (Gluten)_ , _soybean_.",en:gluten | en:soybeans,en:halal,en:indonesia | en:serbia,en:france | en:indonesia | en:morocco | en:saudi-arabia,,80g,80 g,,,2016.25,475,21.25,11.2,61.25,10,5,8.75,3.25,1.3,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790188718,3451790188718,Elle & vire desserts lactes mon grec nature,,Elle & Vire,en:dairies | en:fermented-foods | en:fermented-milk-products | en:desserts | en:dairy-desserts | en:fermented-dairy-desserts | en:plain-fermented-dairy-desserts | en:Produit laitier,"Lait écrémé de vache, crème (issue de LAIT de vache), eau, protéines de LAIT, additifs alimentaires : stabilisant : pectine, agar-agar, fécule",en:milk | en:Lait,en:made-in-france,en:france,en:belgium | en:cote-d-ivoire | en:france | en:french-polynesia | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:mauritius | en:morocco | en:senegal | en:spain | en:united-kingdom | en:world | en:Emirats Arabes Unis,en:fresh | en:pot-polymere-et-materiau-composite | fr:opercule-materiau-composite-et-etiquette-papier | fr:pot-plastique,4 x 125 g,125g,Toutes enseignes GMS,"France, Normandie",432,104,7.5,5.2,5.1,4.2,0,4,0.14,0.056,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-8906010500870,8906010500870,BALAJI CREAM ONION,BALAJI CREAM ONION,balaji,en:plant-based-foods-and-beverages | en:plant-based-foods | en:snacks | en:cereals-and-potatoes | en:salty-snacks | en:sweet-snacks | en:appetizers | en:biscuits-and-cakes | en:biscuits-and-crackers | en:chips-and-fries | en:potatoes-and-their-products | en:biscuits | en:crisps | en:salty-snacks-made-from-potato | en:potato-crisps | en:wafers,Potato,,,,en:india | en:indonesia,,32 gm,30,,,,,,,,,,,,,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_core_nutrition | missing_labels
off-id-3451790019142,3451790019142,Elle & vire creme dessert chocolat,,Elle & Vire,en:dairies | en:desserts | en:dairy-desserts | en:chocolate-desserts | en:Produit laitier,"LAIT de vache écrémé 72%, sucre, CRÈME 6%, chocolat 2,7% (pâte de
 cacao, sucre, cacao maigre), fécule, cacao maigre 1,8%, épaississant :
 carraghénanes, sel.",en:milk | en:Lait,,,en:belgium | en:cote-d-ivoire | en:france | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-kingdom | en:Emirats Arabes Unis,en:pot-pp-et-etiquette-pp,4 x 100 g,100 g,,France,466,111,3.2,2.1,16.7,14.2,1.2,3.2,0.16,0.064,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_labels
off-id-8904071704527,8904071704527,Plantain Chips (Yellow Banana Chips),Plantain Chips (Yellow Banana Chips),,en:snacks,"Plantain Banana (64%), Edible Vegetable Oil (Palmolein), Rock Salt. INGREDIENTS: Banane plantain (64%), huile végétale comestible (palmoléine), sel gemme. المكونات : موز الموز (٦٤) ، زت نا صالح للأل (النخل) ، ملح صخري ergy Advice Product is packed in a factory that handles Peanuts, Tree Nuts, Milk, Wheat, Sesame, Mustard and Soya. produit est emballé dans une usine qui traite des arachides, es noix, du lait, du blé, du sésame, de la moutarde et du soja. يتم تعبئة هذا المنتج في مصنع يتعامل مع الفول السوداني والمكسرات والحليب والقمح والسمسم والخردل وفول الصويا.",en:gluten | en:milk | en:mustard | en:nuts | en:sesame-seeds | en:soybeans,,,en:india | en:indonesia,,170,,,,,535.71428571429,28.571428571429,10.714285714286,64.285714285714,0,3.5714285714286,3.5714285714286,2.1964285,0.8785714,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_brand | missing_labels
off-id-8992760221028,8992760221028,17000725 Oreo Original (Vanilla),,BABYMONSTER OREO,en:snacks | en:sweet-snacks | en:biscuits-and-cakes | en:biscuits-and-crackers | en:biscuits | en:filled-biscuits | en:sandwich-biscuits | en:chocolate-sandwich-cookies,"wheat  flour, sugar, non-hydrogenated vegetable oil (palm), cocoa powder, fructose syrup, sodium bicarbonate (ins500), ammonium bicarbonate (ins503), corn starch, salt,  soy  lecithin (ins322), vanilla flavor,",en:gluten | en:peanuts | en:soybeans,en:halal | en:Haram,,en:india | en:indonesia | en:singapore,en:ldpe-wrap,123g g,27.6 g,,Indonesia,2126.8115942029,471.014492753623,21.7391304347826,9.05797101449275,72.463768115942,39.8550724637681,3.6231884057971,3.6231884057971,1.26811594202899,0.507246376811594,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-8901058005080,8901058005080,Munch Max,,Nestlé,en:snacks | en:sweet-snacks | en:biscuits-and-cakes | en:biscuits-and-crackers | en:cocoa-and-its-products | en:confectioneries | en:biscuits | en:chocolate-candies | en:bars | en:candy-chocolate-bars,"Sugar, Refined Wheat Flour (Maida), Hydrogenated vegetable fats, Fractionated vegetable fat, Milk solids. Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (500(ii)), Yeast, lodised salt, Flour treatment agent (516), Artificial (Vanilla) flavouring substance and Nature-Identical flavouring substance.",en:gluten | en:milk | en:soybeans,en:vegetarian | en:green-dot-india,,en:india | en:indonesia,,38.5 g,1 chocolate (42 g),,,1800.2,430,23.2,22.6,49.8,34.3,,5.6,0.21575,0.0794,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-5010477346032,5010477346032,Crunchy Oat Granola Tropical Fruits,,Jordans,en:plant-based-foods-and-beverages | en:plant-based-foods | en:breakfasts | en:cereals-and-potatoes | en:cereals-and-their-products | en:breakfast-cereals | en:cereals-with-fruits | en:mueslis | en:mueslis-with-fruits,"Wholegrain _Oat_ Flakes 69%, Dried Tropical Fruits 15% (Dried Papaya (Papaya, Cane Sugar), Coconut Chips, Dried Pineapple Chunks (Pineapple, Cane Sugar, Pineapple Juice, Citric Acid), Dried Banana Chips (Banana, Coconut Oil, Sugar, Natural Flavouring), Sugar,  Rapeseed oil, sunflower oil, Honey 1%, Sunflower Seeds, Natural Flavouring.",en:banana | en:gluten | en:nuts,en:vegetarian | en:no-palm-oil | en:The Wildlife Trusts,,en:france | en:indonesia | en:united-kingdom,,750g,1 serving (100 g),Morrison's,"Biggleswade, United Kingdom",1805.6,426,13,4.4,65,22,6.2,10,0.05,0.02,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790019159,3451790019159,Elle & vire creme dessert caramel,,"Elle & Vire, Savencia",en:dairies | en:desserts | en:dairy-desserts | en:entremets-mousses-and-creamy-puddings | en:creamy-puddings | en:caramel-creamy-puddings | en:Produit laitier,"LAIT de vache écrémé 72%, CRÈME 9%, caramel 8%, sucre, fécule, sirop de glucose, épaississant : carraghénanes, arôme naturel (goût caramel), colorant : caramel ordinaire, sel.",en:milk | en:Lait,,,en:belgium | en:cote-d-ivoire | en:gabon | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-kingdom | en:Emirats Arabes Unis,en:pot-pp-et-etiquette-pp,4 x 100 g,100 g,,France,454,108,2.8,1.9,18,13.4,0,2.6,0.16,0.064,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_labels
