Food Code,Food Name,Group,Number,Type,accessed_at,confidence_level,record_id,source_type,source_url,verification_status
HR005,"Alabio duck egg, fresh",Eggs,1,Raw,2026-09-15T06:22:31.314793+00:00,high,panganku-ifct-1,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR037,"Ambarella leaves, fresh",Vegetables,2,Raw,2026-09-15T06:22:31.314833+00:00,high,panganku-ifct-2,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
ER074,"Ambon banana, fresh",Fruits,3,Raw,2026-09-15T06:22:31.314839+00:00,high,panganku-ifct-3,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR072,"Ambon cassave leaves, fresh",Vegetables,4,Raw,2026-09-15T06:22:31.314844+00:00,high,panganku-ifct-4,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR054,"Ambon matel leaves, fresh",Vegetables,5,Raw,2026-09-15T06:22:31.314848+00:00,high,panganku-ifct-5,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR050,"American black nightshade leaves, fresh",Vegetables,6,Raw,2026-09-15T06:22:31.314853+00:00,high,panganku-ifct-6,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
AP026,Amparan tatak,Cereals,7,Processed/Products,2026-09-15T06:22:31.314857+00:00,high,panganku-ifct-7,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR073,"Ampenan cassava leaves, fresh",Vegetables,8,Raw,2026-09-15T06:22:31.314861+00:00,high,panganku-ifct-8,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
GP041,"Anchovy, dried, raw",Fish and Other Seafood,9,Processed/Products,2026-09-15T06:22:31.314865+00:00,high,panganku-ifct-9,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
GP042,"Anchovy, dried, unsalted, raw",Fish and Other Seafood,10,Processed/Products,2026-09-15T06:22:31.314870+00:00,high,panganku-ifct-10,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
GR078,"Anchovy, fresh",Fish and Other Seafood,11,Raw,2026-09-15T06:22:31.314873+00:00,high,panganku-ifct-11,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
GP043,"Anchovy, ground, raw",Fish and Other Seafood,12,Processed/Products,2026-09-15T06:22:31.314877+00:00,high,panganku-ifct-12,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
GP040,"Anchovy, ground, raw",Fish and Other Seafood,13,Processed/Products,2026-09-15T06:22:31.314881+00:00,high,panganku-ifct-13,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR003,"Andaliman, fresh",Vegetables,14,Raw,2026-09-15T06:22:31.314884+00:00,high,panganku-ifct-14,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
DR058,"Angled loofah leaves, fresh",Vegetables,15,Raw,2026-09-15T06:22:31.314888+00:00,high,panganku-ifct-15,"Indonesian Food Composition Table (IFCT), searchable web table",https://www.panganku.org/en-EN/semua_nutrisi,official-source-recorded; values preserved as published
